com.samsung.shealth.calories_burned.details,6212007,2
active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,37374126-dc34-4a73-9beb-cae97e93e9d3.extra_data.json,0.0,1067110,1584.8678,2020-01-01 12:05:56.989,2019-12-11 21:51:19.991,57.819992,im26HRLwRA,com.sec.android.app.shealth,37374126-dc34-4a73-9beb-cae97e93e9d3,1576022400000,
,,80da05a2-f98b-486c-a1e4-b4569e21ca1a.extra_data.json,0.0,0,1610.3641,2019-12-11 21:51:21.072,2019-12-11 21:51:21.072,0.0,im26HRLwRA,com.sec.android.app.shealth,80da05a2-f98b-486c-a1e4-b4569e21ca1a,1574208000000,
,,e4d3dc04-d23c-47aa-9549-511679b1a242.extra_data.json,0.0,0,1610.3641,2019-12-11 21:51:21.187,2019-12-11 21:51:21.187,0.0,im26HRLwRA,com.sec.android.app.shealth,e4d3dc04-d23c-47aa-9549-511679b1a242,1574726400000,
,,fb35bdc1-1087-4a3c-9237-7006cbfcc2ea.extra_data.json,0.0,0,1610.3641,2019-12-11 21:51:21.317,2019-12-11 21:51:21.317,0.0,im26HRLwRA,com.sec.android.app.shealth,fb35bdc1-1087-4a3c-9237-7006cbfcc2ea,1575244800000,
,,a9fe1538-ace4-4112-9815-1ca4e649ca9e.extra_data.json,0.0,0,1604.687,2020-01-01 12:05:56.877,2019-12-11 21:51:21.406,0.0,im26HRLwRA,com.sec.android.app.shealth,a9fe1538-ace4-4112-9815-1ca4e649ca9e,1575763200000,
,,04eb3375-310d-486a-8970-a59ef4600c9b.extra_data.json,0.0,1820153,1741.3739,2020-01-11 02:50:37.836,2019-12-14 05:00:01.233,102.960014,im26HRLwRA,com.sec.android.app.shealth,04eb3375-310d-486a-8970-a59ef4600c9b,1576281600000,
,,b96df7b1-cf17-44b7-ae24-263dee176654.extra_data.json,0.0,2212512,1733.2959,2020-01-11 02:50:38.051,2019-12-20 05:00:01.049,118.49,im26HRLwRA,com.sec.android.app.shealth,b96df7b1-cf17-44b7-ae24-263dee176654,1576800000000,
,,8372ddcb-de4b-41a2-aa47-0f356cab6c64.extra_data.json,0.0,2317735,1731.1294,2020-01-11 02:50:38.198,2019-12-26 05:00:01.383,126.49002,im26HRLwRA,com.sec.android.app.shealth,8372ddcb-de4b-41a2-aa47-0f356cab6c64,1577318400000,
,,0bf3e832-7095-41a9-a3b4-8b2486102483.extra_data.json,0.0,2865769,1719.8463,2020-01-11 02:50:38.333,2020-01-01 05:00:00.520,153.57999,im26HRLwRA,com.sec.android.app.shealth,0bf3e832-7095-41a9-a3b4-8b2486102483,1577836800000,
,,2af51c88-f0d2-4e1d-9f18-8971eef0c6d8.extra_data.json,0.0,2374827,1729.9541,2020-01-11 02:50:38.456,2020-01-07 05:00:00.544,133.78001,im26HRLwRA,com.sec.android.app.shealth,2af51c88-f0d2-4e1d-9f18-8971eef0c6d8,1578355200000,
