com.samsung.shealth.step_daily_trend,6212007,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
d578bad8-f8df-44bd-a993-0fb9d8925312.binning_data.json,2019-12-23 04:47:20.267,2019-12-22 05:44:02.963,com.sec.android.app.shealth,-2,5802,1.3054999,4363.85,209.59999,VfS0qUERdZ,com.sec.android.app.shealth,d578bad8-f8df-44bd-a993-0fb9d8925312,1576972800000,
10d81576-11e5-4c18-baba-aedf96ec56ca.binning_data.json,2019-12-18 05:02:41.293,2019-12-18 05:02:41.293,com.sec.android.app.shealth,0,4396,1.6111112,3333.6099,153.44,im26HRLwRA,com.sec.android.app.shealth,10d81576-11e5-4c18-baba-aedf96ec56ca,1576540800000,
ee97af96-0211-4aba-9eaf-ac7b6c0059be.binning_data.json,2019-12-26 05:00:01.838,2019-12-26 05:00:01.838,com.sec.android.app.shealth,0,7173,2.3611112,5503.3,252.9,im26HRLwRA,com.sec.android.app.shealth,ee97af96-0211-4aba-9eaf-ac7b6c0059be,1577232000000,
67323ed9-8f76-47b2-ad75-3ecb0d9400f0.binning_data.json,2019-12-26 05:01:01.130,2019-12-24 12:39:29.460,com.sec.android.app.shealth,-2,4087,1.3150922,3071.8699,145.70999,VfS0qUERdZ,com.sec.android.app.shealth,67323ed9-8f76-47b2-ad75-3ecb0d9400f0,1577145600000,
270a8716-771d-4659-8204-72f11dd9d88c.binning_data.json,2019-12-21 04:00:47.262,2019-12-20 10:46:45.848,com.sec.android.app.shealth,-2,3339,1.3186921,2519.49,118.49,VfS0qUERdZ,com.sec.android.app.shealth,270a8716-771d-4659-8204-72f11dd9d88c,1576800000000,
96368aad-ef69-4339-87f6-a326c9f0ce17.binning_data.json,2019-12-25 05:00:20.750,2019-12-25 05:00:02.915,com.sec.android.app.shealth,0,4087,2.2777777,3071.8699,145.70999,im26HRLwRA,com.sec.android.app.shealth,96368aad-ef69-4339-87f6-a326c9f0ce17,1577145600000,
e3cde5d5-ac57-4d36-9a37-fab86dd2847a.binning_data.json,2019-12-26 04:24:54.228,2019-12-25 05:17:11.415,com.sec.android.app.shealth,-2,7173,1.4108295,5503.3,252.9,VfS0qUERdZ,com.sec.android.app.shealth,e3cde5d5-ac57-4d36-9a37-fab86dd2847a,1577232000000,
1b74f07c-cc7b-4580-8169-76075293a431.binning_data.json,2019-12-21 05:01:01.173,2019-12-21 05:01:01.173,com.sec.android.app.shealth,0,3339,1.9786819,2519.49,118.49,im26HRLwRA,com.sec.android.app.shealth,1b74f07c-cc7b-4580-8169-76075293a431,1576800000000,
9e75ea3b-645e-4a6f-8084-8b41bb6eac4f.binning_data.json,2019-12-29 05:23:45.346,2019-12-29 05:23:45.346,com.sec.android.app.shealth,0,2566,2.5277774,1925.96,95.99999,im26HRLwRA,com.sec.android.app.shealth,9e75ea3b-645e-4a6f-8084-8b41bb6eac4f,1577491200000,
872ad8ee-e767-45e2-bcc9-a064f6ed3976.binning_data.json,2019-12-24 04:12:05.675,2019-12-23 12:35:40.532,com.sec.android.app.shealth,-2,4134,1.3652519,3139.3499,145.61,VfS0qUERdZ,com.sec.android.app.shealth,872ad8ee-e767-45e2-bcc9-a064f6ed3976,1577059200000,
e4565156-64cb-43ee-9523-ebca82ef8239.binning_data.json,2019-12-28 05:00:00.793,2019-12-27 05:03:54.415,com.sec.android.app.shealth,0,4869,1.6111112,3654.3098,175.81999,im26HRLwRA,com.sec.android.app.shealth,e4565156-64cb-43ee-9523-ebca82ef8239,1577404800000,
fc08ac18-28c9-4821-bfb5-218ee160b80b.binning_data.json,2019-12-28 03:55:02.126,2019-12-27 05:03:54.856,com.sec.android.app.shealth,-2,4869,1.2979444,3654.3098,175.81999,VfS0qUERdZ,com.sec.android.app.shealth,fc08ac18-28c9-4821-bfb5-218ee160b80b,1577404800000,
b0d1f8b9-1395-49a0-92ec-3076c79c0d5d.binning_data.json,2019-12-29 02:43:38.649,2019-12-28 13:22:02.970,com.sec.android.app.shealth,-2,2566,1.2630192,1925.96,95.99999,VfS0qUERdZ,com.sec.android.app.shealth,b0d1f8b9-1395-49a0-92ec-3076c79c0d5d,1577491200000,
4ebeea3b-0ad8-4b77-abeb-95d537d7c4e4.binning_data.json,2019-12-24 05:00:01.510,2019-12-24 05:00:01.510,com.sec.android.app.shealth,0,4134,1.9722222,3139.3499,145.61,im26HRLwRA,com.sec.android.app.shealth,4ebeea3b-0ad8-4b77-abeb-95d537d7c4e4,1577059200000,
506fe1fe-4061-4086-85d3-6499bebb0a57.binning_data.json,2019-12-28 05:00:01.110,2019-12-26 13:57:41.672,com.sec.android.app.shealth,-2,3545,1.2625653,2655.23,126.49,VfS0qUERdZ,com.sec.android.app.shealth,506fe1fe-4061-4086-85d3-6499bebb0a57,1577318400000,
f2e0b832-16d7-49dd-9b1b-113e6db3f59c.binning_data.json,2019-12-31 03:16:22.915,2019-12-30 09:44:28.554,com.sec.android.app.shealth,-2,4480,1.3773615,3399.38,156.04999,VfS0qUERdZ,com.sec.android.app.shealth,f2e0b832-16d7-49dd-9b1b-113e6db3f59c,1577664000000,
d81df888-a47f-448e-aa85-aa92224890df.binning_data.json,2019-12-31 05:00:06.483,2019-12-31 05:00:06.483,com.sec.android.app.shealth,0,4480,2.5523565,3399.38,156.04999,im26HRLwRA,com.sec.android.app.shealth,d81df888-a47f-448e-aa85-aa92224890df,1577664000000,
53daf893-babd-4ca1-90dd-ec44723d9e77.binning_data.json,2020-01-01 04:58:34.673,2019-12-31 10:44:13.105,com.sec.android.app.shealth,-2,5541,1.303272,4163.08,198.01999,VfS0qUERdZ,com.sec.android.app.shealth,53daf893-babd-4ca1-90dd-ec44723d9e77,1577750400000,
