com.samsung.shealth.exercise.weather,6212007,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2020-07-30 00:04:13.294,43.692028,,WNW. 300,Fair,0,1,TWC,2020-07-30 00:04:13.296,2020-07-30 00:04:13.296,1,-79.56628,28.0,46,UTC-0400,im26HRLwRA,1149cb0d-148f-4cc1-956b-634658fa3466,com.sec.android.app.shealth,km/h,0,16.0,1,232e5bef-a472-4d77-b2dc-4d81b6c4572b,
,0,2020-07-22 13:38:35.445,43.6909,,ESE. 120,Rain Shower,0,1,TWC,2020-07-22 13:38:35.446,2020-07-22 13:38:35.446,1,-79.56505,22.0,86,UTC-0400,im26HRLwRA,8eac22d0-6591-4cef-af55-5f0a36d08402,com.sec.android.app.shealth,km/h,0,10.0,5,2a67e654-73ac-4288-b8c1-fce9e6c3875b,
,0,2020-06-29 23:26:45.788,43.692036,,N. 0,Partly Cloudy,0,1,TWC,2020-06-29 23:26:45.789,2020-06-29 23:26:45.789,1,-79.5663,29.0,40,UTC-0400,im26HRLwRA,51f08686-0cd8-4671-9c68-4b4b683e42ad,com.sec.android.app.shealth,km/h,0,16.0,2,a2e0b0e2-ad7c-4260-b08b-e5be9d1a20e1,
,0,2020-08-05 22:23:16.500,43.68356,,W. 270,Partly Cloudy,0,1,TWC,2020-08-05 22:23:16.504,2020-08-05 22:23:16.504,1,-79.56439,23.0,39,UTC-0400,im26HRLwRA,e825e489-3729-4deb-bf43-0b2b3dedec9e,com.sec.android.app.shealth,km/h,0,21.0,2,05559787-0394-4443-8485-6f28976c5452,
,0,2020-07-03 00:28:37.937,43.690212,,NNW. 340,Sunny,0,1,TWC,2020-07-03 00:28:37.938,2020-07-03 00:28:37.938,1,-79.564415,31.0,41,UTC-0400,im26HRLwRA,fb2d13f1-29bd-4088-a551-10c371b9fe1c,com.sec.android.app.shealth,km/h,0,19.0,1,3a926e3f-6c59-4af5-b3f8-4287910fbf86,
,0,2020-08-19 22:38:06.805,43.68353,,N. 0,Sunny,0,1,TWC,2020-08-19 22:38:06.807,2020-08-19 22:38:06.807,1,-79.56455,23.0,40,UTC-0400,im26HRLwRA,55d77919-1787-49fd-bd96-f15f898fdd0e,com.sec.android.app.shealth,km/h,0,14.0,1,495a74b7-a301-4f33-bf0d-8aa8adade482,
,0,2020-07-06 23:46:43.823,43.692028,,ESE. 120,Sunny,0,1,TWC,2020-07-06 23:46:43.823,2020-07-06 23:46:43.823,1,-79.56629,29.0,42,UTC-0400,im26HRLwRA,66e3aeae-a7cb-4859-b7ee-adf890b037ba,com.sec.android.app.shealth,km/h,0,16.0,1,f30ac1e6-65c2-48b2-ba4e-949676ac7c8f,
,0,2020-07-11 00:40:20.975,43.69202,,ENE. 60,Showers in the Vicinity,0,1,TWC,2020-07-11 00:40:20.982,2020-07-11 00:40:20.982,1,-79.56629,29.0,61,UTC-0400,im26HRLwRA,afb3d535-7d30-4e3f-b79e-60e52da31146,com.sec.android.app.shealth,km/h,0,13.0,3,7bc4dc2c-ca28-4476-a75c-daa9d39ed6dc,
,0,2020-07-03 00:02:15.360,43.684566,,NNW. 340,Partly Cloudy,0,1,TWC,2020-07-03 00:02:15.361,2020-07-03 00:02:15.361,1,-79.565475,31.0,38,UTC-0400,im26HRLwRA,9e7a101b-e5de-4288-b965-88c1952fe044,com.sec.android.app.shealth,km/h,0,24.0,2,3054dee5-2b7e-4005-9eb0-a24e7fe3fca3,
,0,2020-08-29 21:33:30.743,43.76468,,WNW. 300,Partly Cloudy,0,1,TWC,2020-08-29 21:33:30.749,2020-08-29 21:33:30.749,1,-79.41428,22.0,59,UTC-0400,im26HRLwRA,f0b1cb60-5313-4a75-bd20-ae6a62bdb747,com.sec.android.app.shealth,km/h,0,31.0,2,72e5a12f-a880-41ed-81fb-0ffcfd999ef3,
