com.samsung.shealth.activity.day_summary,6212007,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
5865,3781985,,0,2019-12-17 02:07:38.082,2019-12-16 05:00:00.971,60,120000,103,4474.219,200.90997,553e7f2b-f704-48b5-bd44-d13de33ffda9.extra_data.json,im26HRLwRA,10400,com.sec.android.app.shealth,3771585,20340000,553e7f2b-f704-48b5-bd44-d13de33ffda9,1576454400000,
0,0,,0,2019-12-11 21:51:20.867,2019-12-11 21:51:20.867,-1,0,0,0.0,0.0,d0736b55-938d-419d-a259-7892476cb1e4.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,0,-1,d0736b55-938d-419d-a259-7892476cb1e4,1575936000000,
5802,3659836,,0,2019-12-23 04:47:19.673,2019-12-22 05:00:01.570,60,360000,100,4363.8506,209.59998,b761a14a-6147-4b24-8bfd-779d26949073.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,3659836,22440000,b761a14a-6147-4b24-8bfd-779d26949073,1576972800000,
2846,1898282,,0,2019-12-22 05:00:01.678,2019-12-21 05:00:01.368,60,60000,51,2109.2397,106.250015,024d783a-eed4-4191-8814-52e0ab96434f.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,1898282,28440000,024d783a-eed4-4191-8814-52e0ab96434f,1576886400000,
2750,1820153,,0,2019-12-15 04:11:15.699,2019-12-14 05:00:01.183,60,120000,50,2044.4397,102.960014,db09e484-1239-43ef-88b8-19862dc7c7c0.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,1820153,29820000,db09e484-1239-43ef-88b8-19862dc7c7c0,1576281600000,
4396,2868957,,0,2019-12-18 02:29:58.530,2019-12-17 05:00:00.235,60,120000,78,3333.6099,153.44,630e191f-d9f6-44cc-a71b-8ffb923baa76.extra_data.json,im26HRLwRA,400,com.sec.android.app.shealth,2868557,20700000,630e191f-d9f6-44cc-a71b-8ffb923baa76,1576540800000,
3339,2212512,,0,2019-12-21 05:00:01.458,2019-12-20 05:00:01.005,60,60000,60,2519.4902,118.49,eb4d18a2-8059-4fd3-a97b-f49adfa2d2d1.extra_data.json,im26HRLwRA,800,com.sec.android.app.shealth,2211712,20760000,eb4d18a2-8059-4fd3-a97b-f49adfa2d2d1,1576800000000,
2566,1702566,,0,2019-12-29 02:43:38.049,2019-12-28 05:00:00.288,60,120000,46,1925.9601,95.999985,60801bfe-3fc3-4633-bb6f-5f6a39ecca29.extra_data.json,im26HRLwRA,3200,com.sec.android.app.shealth,1699366,30060000,60801bfe-3fc3-4633-bb6f-5f6a39ecca29,1577491200000,
4134,2680832,,0,2019-12-24 04:12:05.104,2019-12-23 05:00:00.484,60,120000,73,3139.3499,145.61,a6651252-df59-4b3b-a0ee-ec8af4c16b1b.extra_data.json,im26HRLwRA,2400,com.sec.android.app.shealth,2678432,27300000,a6651252-df59-4b3b-a0ee-ec8af4c16b1b,1577059200000,
4869,3168040,,0,2019-12-28 03:55:01.458,2019-12-27 05:00:00.304,60,120000,86,3654.3096,175.81995,e87c8792-0b5f-4908-89b9-625e2079fef1.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,3168040,31320000,e87c8792-0b5f-4908-89b9-625e2079fef1,1577404800000,
