Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2020-02-13,"Aerobics, general",Cardio,894.0,92,,,,,
2020-02-13,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-14,"Aerobics, general",Cardio,923.0,97,,,,,
2020-02-14,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-15,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-16,"Aerobics, general",Cardio,1213.0,95,,,,,
2020-02-16,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-17,"Aerobics, general",Cardio,601.0,68,,,,,
2020-02-17,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-18,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-19,"Aerobics, general",Cardio,829.0,84,,,,,
2020-02-19,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-20,"Aerobics, general",Cardio,827.0,63,,,,,
2020-02-20,"Aerobics, general",Cardio,631.0,60,,,,,
2020-02-20,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-21,"Aerobics, general",Cardio,773.0,64,,,,,
2020-02-21,"Aerobics, general",Cardio,763.0,78,,,,,
2020-02-21,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-22,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-23,"Aerobics, general",Cardio,1081.0,95,,,,,
2020-02-23,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-24,"Aerobics, general",Cardio,886.0,101,,,,,
2020-02-24,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-25,"Aerobics, general",Cardio,702.0,78,,,,,
2020-02-25,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-26,"Aerobics, general",Cardio,810.0,83,,,,,
2020-02-26,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-27,"Aerobics, general",Cardio,737.0,81,,,,,
2020-02-27,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-28,"Aerobics, general",Cardio,786.0,66,,,,,
2020-02-28,"Aerobics, general",Cardio,846.0,92,,,,,
2020-02-28,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-02-29,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-01,"Aerobics, general",Cardio,1044.0,88,,,,,
2020-03-01,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-02,"Aerobics, general",Cardio,699.0,76,,,,,
2020-03-02,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-03,"Aerobics, general",Cardio,867.0,94,,,,,
2020-03-03,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-04,"Aerobics, general",Cardio,918.0,99,,,,,
2020-03-04,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-05,"Aerobics, general",Cardio,716.0,74,,,,,
2020-03-05,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-06,"Aerobics, general",Cardio,759.0,63,,,,,
2020-03-06,"Aerobics, general",Cardio,963.0,100,,,,,
2020-03-06,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-08,"Aerobics, general",Cardio,1097.0,106,,,,,
2020-03-08,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-09,"Aerobics, general",Cardio,900.0,100,,,,,
2020-03-09,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-10,"Aerobics, general",Cardio,750.0,90,,,,,
2020-03-10,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-11,"Aerobics, general",Cardio,951.0,96,,,,,
2020-03-11,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-12,"Aerobics, general",Cardio,816.0,94,,,,,
2020-03-12,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-13,"Aerobics, general",Cardio,816.0,63,,,,,
2020-03-13,"Aerobics, general",Cardio,825.0,88,,,,,
2020-03-13,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-14,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-15,"Aerobics, general",Cardio,1076.0,90,,,,,
2020-03-15,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-16,"Aerobics, general",Cardio,492.0,67,,,,,
2020-03-16,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-17,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-18,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-19,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-20,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-21,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-03-27,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-07-24,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-07-25,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-07-26,Garmin Connect calorie adjustment,Cardio,533.0,1,,,,,
2020-07-27,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-07-28,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-07-29,"Aerobics, general",Cardio,76.0,9,,,,,
2020-07-29,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-07-30,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-07-31,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-08-03,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-08-04,"Aerobics, general",Cardio,502.0,49,,,,,
2020-08-04,Garmin Connect calorie adjustment,Cardio,10.0,1,,,,,
2020-08-05,Garmin Connect calorie adjustment,Cardio,190.0,1,,,,,
2020-08-06,Garmin Connect calorie adjustment,Cardio,212.0,1,,,,,
2020-08-07,Garmin Connect calorie adjustment,Cardio,156.0,1,,,,,
2020-08-10,Garmin Connect calorie adjustment,Cardio,201.0,1,,,,,
2020-08-11,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-08-12,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-08-14,"Aerobics, general",Cardio,441.0,43,,,,,
2020-08-14,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-08-15,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-08-17,Garmin Connect calorie adjustment,Cardio,158.0,1,,,,,
2020-08-19,Garmin Connect calorie adjustment,Cardio,175.0,1,,,,,
2020-08-20,"Aerobics, general",Cardio,608.0,57,,,,,
2020-08-20,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-08-21,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-08-22,Garmin Connect calorie adjustment,Cardio,305.0,1,,,,,
2020-08-23,Garmin Connect calorie adjustment,Cardio,438.0,1,,,,,
2020-08-24,Garmin Connect calorie adjustment,Cardio,114.0,1,,,,,
2020-08-25,"Aerobics, general",Cardio,461.0,42,,,,,
2020-08-25,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-08-26,"Aerobics, general",Cardio,440.0,55,,,,,
2020-08-26,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-08-27,"Aerobics, general",Cardio,563.0,69,,,,,
2020-08-27,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-08-28,Garmin Connect calorie adjustment,Cardio,121.0,1,,,,,
2020-08-29,"Aerobics, general",Cardio,589.0,54,,,,,
2020-08-29,Garmin Connect calorie adjustment,Cardio,555.0,1,,,,,
2020-08-30,Garmin Connect calorie adjustment,Cardio,716.0,1,,,,,
2020-09-02,Garmin Connect calorie adjustment,Cardio,484.0,1,,,,,
2020-09-04,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-05,Garmin Connect calorie adjustment,Cardio,220.0,1,,,,,
2020-09-06,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-07,"Aerobics, general",Cardio,533.0,42,,,,,
2020-09-07,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-08,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-09,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-11,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-12,"Aerobics, general",Cardio,432.0,33,,,,,
2020-09-12,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-13,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-14,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-15,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-18,"Aerobics, general",Cardio,385.0,40,,,,,
2020-09-18,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-26,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-27,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-09-28,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-10-08,"Aerobics, general",Cardio,808.0,73,,,,,
2020-10-08,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-10-09,"Aerobics, general",Cardio,528.0,57,,,,,
2020-10-09,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-10-13,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-10-14,"Aerobics, general",Cardio,757.0,87,,,,,
2020-10-14,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-10-15,"Aerobics, general",Cardio,773.0,87,,,,,
2020-10-15,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-10-17,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-10-18,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-10-28,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-11-11,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-11-12,Garmin Connect calorie adjustment,Cardio,4.0,1,,,,,
2020-11-13,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-11-14,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-11-15,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-11-20,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,109,
2021-07-25,Garmin Connect calorie adjustment,Cardio,151.0,1,,,,5851,
2021-07-26,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,3690,
2021-07-27,"Aerobics, general",Cardio,708.0,55,,,,,
2021-07-27,"Aerobics, general",Cardio,659.0,72,,,,,
2021-07-27,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,7592,
2021-07-28,Garmin Connect calorie adjustment,Cardio,152.0,1,,,,2829,
2021-07-29,"Aerobics, general",Cardio,847.0,62,,,,,
2021-07-29,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,6849,
2021-07-30,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,3329,
2021-07-31,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,8692,
2021-08-01,Garmin Connect calorie adjustment,Cardio,308.0,1,,,,17287,
2021-08-02,Garmin Connect calorie adjustment,Cardio,276.0,1,,,,7887,
2021-08-03,Garmin Connect calorie adjustment,Cardio,280.0,1,,,,2411,
2021-08-05,Garmin Connect calorie adjustment,Cardio,245.0,1,,,,2722,
2021-08-06,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,4047,
2021-08-07,Garmin Connect calorie adjustment,Cardio,179.0,1,,,,12877,
2021-08-08,"Aerobics, general",Cardio,649.0,52,,,,,
2021-08-08,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,6122,
2021-08-09,"Aerobics, general",Cardio,740.0,57,,,,,
2021-08-09,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,7340,
2021-08-10,"Aerobics, general",Cardio,742.0,59,,,,,
2021-08-10,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,6367,
2021-08-11,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,1690,
2021-08-12,"Aerobics, general",Cardio,680.0,54,,,,,
2021-08-12,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,7205,
2021-08-13,Garmin Connect calorie adjustment,Cardio,320.0,1,,,,2626,
2021-08-14,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,4640,
2021-08-15,Garmin Connect calorie adjustment,Cardio,30.0,1,,,,1991,
2021-08-16,Garmin Connect calorie adjustment,Cardio,217.0,1,,,,2677,
2021-08-17,Garmin Connect calorie adjustment,Cardio,553.0,1,,,,2376,
2021-08-18,Garmin Connect calorie adjustment,Cardio,209.0,1,,,,2204,
2021-08-19,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,4921,
2021-08-20,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,3522,
2021-08-21,"Aerobics, general",Cardio,844.0,73,,,,,
2021-08-21,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,6292,
2021-08-22,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,967,
2021-08-23,Garmin Connect calorie adjustment,Cardio,252.0,1,,,,2221,
2021-08-24,Garmin Connect calorie adjustment,Cardio,156.0,1,,,,2516,
2021-08-25,Garmin Connect calorie adjustment,Cardio,140.0,1,,,,2354,
2021-08-26,Garmin Connect calorie adjustment,Cardio,371.0,1,,,,2333,
2021-08-27,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,2719,
